Time,Depth 1,Load 1,Depth 2,Load 2,Depth 3,Load 3,Depth 4,Load 4
0,0,0,0,0,0,0,0,0
0.01021,0.24947,1.48E-04,0.09127,2.54E-04,0.06503,-1.99E-05,0.55201,1.59E-04
0.02022,0.87581,2.71E-04,0.19293,2.42E-04,-0.3258,1.78E-04,0.51959,2.75E-04
0.03404,1.00556,0.00211,0.64269,0.00241,0.40009,0.00212,0.50446,0.00202
0.045,1.92345,0.00428,1.46037,0.00433,0.78408,0.00382,1.00825,0.00454
0.05501,2.90865,0.00613,1.65564,0.00705,1.38882,0.00617,2.36084,0.0062
0.06593,4.03017,0.00823,2.53605,0.00836,1.76108,0.00834,3.04099,0.00858
0.0769,4.76266,0.01041,2.47912,0.01052,1.82675,0.01059,3.36032,0.01054
0.08787,5.15159,0.01246,2.94021,0.0131,2.12972,0.01267,4.04896,0.01244
0.09894,5.83471,0.01416,3.9593,0.01482,2.29639,0.0145,4.70517,0.01404
0.1099,5.75225,0.01676,4.22289,0.01688,2.70922,0.01679,4.67802,0.01689
0.11994,6.33235,0.01886,4.33918,0.01965,3.2453,0.01911,5.34589,0.01865
0.12995,6.38235,0.02075,4.60766,0.02086,3.29843,0.02098,5.6323,0.02065
0.14087,6.54689,0.02234,4.9017,0.02318,4.08737,0.02318,6.33865,0.02286
0.15089,6.44852,0.02527,4.9205,0.02478,4.07866,0.02507,7.05634,0.02489
0.16187,7.10933,0.02719,5.8291,0.02738,4.10717,0.02709,7.32488,0.02659
0.17287,7.15764,0.02992,6.03768,0.02983,4.4953,0.02911,7.42514,0.02925
0.18381,7.93001,0.03147,6.05234,0.03204,5.03431,0.03141,7.93249,0.03146
0.1948,7.72724,0.03368,6.0046,0.03351,5.47205,0.03336,8.20199,0.03347
0.20577,8.07465,0.03579,6.49884,0.03571,6.01234,0.03588,8.71525,0.03554
0.21682,7.92563,0.038,6.57491,0.03777,6.26749,0.03739,8.96705,0.03748
0.22776,8.18825,0.03967,6.842,0.03996,6.35355,0.03968,9.24787,0.04005
0.23865,8.63282,0.04232,6.45619,0.04203,6.606,0.04137,10.08401,0.04178
0.24957,8.72104,0.04447,7.02037,0.04412,6.73091,0.04405,10.1614,0.04375
0.25967,8.65599,0.04679,7.45906,0.04617,6.95141,0.04606,10.45163,0.04638
0.27072,9.00819,0.04868,7.72971,0.04854,7.11721,0.04796,11.1037,0.04786
0.28074,9.46949,0.05068,7.72673,0.05021,7.1424,0.04999,11.20525,0.05007
0.29166,9.21108,0.05242,8.03834,0.05263,7.13435,0.05215,11.40204,0.052
0.30265,9.25562,0.05505,7.88652,0.05492,7.74941,0.05434,11.56603,0.05376
0.31359,9.56854,0.05717,8.40316,0.05699,7.6668,0.05697,12.23424,0.0564
0.32366,9.89598,0.05858,8.77589,0.05931,8.11189,0.05862,12.42779,0.0583
0.33459,9.8283,0.06124,8.87602,0.06127,7.86254,0.06132,12.47852,0.06019
0.34465,9.93388,0.06335,9.33972,0.06354,8.37345,0.06329,13.03799,0.06265
0.35553,10.3973,0.06572,9.20294,0.06538,8.0235,0.06469,13.14967,0.06459
0.36652,10.53363,0.0677,9.42712,0.06827,8.084,0.06708,13.19589,0.0668
0.37739,10.65138,0.06942,9.55771,0.06992,8.2773,0.06912,13.88675,0.06886
0.38749,11.1287,0.07172,9.45992,0.07176,8.77647,0.07122,14.08279,0.07046
0.3985,11.07614,0.07404,9.93337,0.074,8.44034,0.07337,14.3679,0.07319
0.40941,10.77564,0.07647,10.04803,0.07606,9.04807,0.0754,14.26072,0.07532
0.41948,11.3243,0.07797,10.29496,0.07821,9.04063,0.07744,14.4821,0.07726
0.43036,11.26263,0.08038,10.06548,0.0804,9.20998,0.07916,14.8102,0.07906
0.44135,11.80996,0.08212,10.56664,0.08238,9.24035,0.08156,15.30687,0.08153
0.45145,12.08772,0.08468,10.17279,0.08434,9.86975,0.08345,15.38092,0.08352
0.46235,11.88338,0.08668,10.58002,0.08635,10.31227,0.08583,15.67082,0.0859
0.47327,12.00615,0.08932,10.81852,0.08857,10.18241,0.0879,15.87884,0.088
0.4833,12.16832,0.09075,11.09706,0.09052,10.73928,0.08988,15.99594,0.09044
0.4943,12.30177,0.09302,11.06808,0.0933,10.54018,0.09188,16.54343,0.09244
0.50524,12.4321,0.09548,11.74888,0.09487,10.51425,0.09396,16.93558,0.09415
0.51526,12.42295,0.0972,11.51255,0.09702,10.76089,0.09616,17.05599,0.09646
0.52527,12.88865,0.0992,11.54922,0.09918,11.41715,0.09817,17.10382,0.09868
0.53625,12.9533,0.10112,11.62001,0.10138,11.56796,0.10064,17.60278,0.10079
0.54625,13.14216,0.10302,11.83997,0.10368,11.29952,0.10242,18.14099,0.10286
0.55724,13.25303,0.10551,12.02069,0.10553,11.73433,0.10451,18.12021,0.10503
0.5682,13.06408,0.10756,12.3661,0.10765,11.74237,0.10676,18.6033,0.107
0.57906,13.0841,0.10978,12.54187,0.10965,11.76985,0.10889,18.84079,0.10932
0.59004,13.4039,0.11161,12.58503,0.11207,11.78315,0.11089,19.00287,0.11116
0.60098,13.5263,0.11427,12.98707,0.1141,12.10208,0.11304,19.21194,0.11346
0.61101,13.5886,0.1162,13.14204,0.11622,11.81745,0.11491,19.01748,0.1154
0.6219,13.88547,0.11783,13.31788,0.11821,12.31434,0.11707,19.27826,0.11727
0.63196,13.83171,0.12023,12.81874,0.12028,11.87267,0.11935,19.63101,0.12023
0.64293,13.77443,0.1225,13.32436,0.12231,11.93543,0.12161,20.09049,0.12173
0.65395,14.20454,0.12459,13.41627,0.12459,12.41225,0.12369,20.3146,0.12372
0.66402,14.39058,0.12678,13.88907,0.12667,12.60256,0.12586,20.73793,0.12617
0.67501,14.17998,0.12894,13.78113,0.12894,12.75346,0.12789,20.89967,0.12846
0.68591,14.60435,0.13067,14.10476,0.13064,12.16482,0.13051,20.74719,0.13043
0.69595,14.65562,0.13305,13.97121,0.13307,12.60159,0.13207,21.38734,0.1324
0.70691,14.71178,0.13528,14.23375,0.13519,12.67704,0.13408,20.90671,0.135
0.71789,15.14058,0.13719,14.59615,0.13724,13.00138,0.13639,21.23512,0.13679
0.7279,15.27038,0.13945,14.41118,0.14011,13.12534,0.13839,21.45383,0.13896
0.7388,15.08456,0.14164,15.1703,0.14157,13.47858,0.14042,22.20391,0.14111
0.74882,15.44185,0.14332,14.98499,0.14431,13.61944,0.14232,21.87441,0.14329
0.75978,15.34533,0.14576,15.38695,0.14596,14.04415,0.14451,22.41974,0.14551
0.77078,15.42188,0.14796,14.77894,0.14799,13.80201,0.14653,22.37729,0.14743
0.7817,15.88119,0.15017,15.55267,0.14979,14.42452,0.14878,22.42683,0.14952
0.79173,15.51574,0.15212,15.32188,0.15235,14.27812,0.15088,22.50541,0.1517
0.80173,15.63925,0.15412,15.45061,0.15427,14.3959,0.15304,22.99766,0.15376
0.81268,16.04326,0.15685,15.77066,0.15657,14.30528,0.1545,23.0048,0.15562
0.82363,16.11892,0.15849,15.89873,0.15851,14.57328,0.15716,23.27238,0.15769
0.83468,16.10275,0.16071,15.4606,0.1602,14.31068,0.15971,23.48753,0.16003
0.8455,16.68087,0.1629,16.11645,0.1629,14.93253,0.16155,23.26654,0.16195
0.85552,16.41283,0.16488,16.17076,0.16463,15.13588,0.16359,23.54641,0.16408
0.86559,16.49862,0.1668,16.09888,0.16678,14.69228,0.16566,24.2952,0.16628
0.87573,16.35938,0.16886,16.08517,0.16931,14.9742,0.16802,24.30095,0.16845
0.88666,16.39921,0.17136,16.55537,0.17119,15.00879,0.17013,24.32979,0.1706
0.89666,16.99657,0.17311,16.53883,0.17317,15.07801,0.17229,24.58936,0.17256
0.90768,17.196,0.17509,16.93558,0.17526,15.18197,0.17433,24.94689,0.17458
0.91849,16.98261,0.17689,16.81755,0.17754,14.90931,0.17698,25.08124,0.17654
0.92859,16.96744,0.17944,16.99113,0.17955,15.23948,0.17866,24.8443,0.17867
0.93955,17.32243,0.18147,17.38658,0.18163,15.62275,0.18082,25.10354,0.18077
0.94964,17.63482,0.18355,17.23509,0.1839,15.57129,0.18237,25.35851,0.18347
0.96046,17.6152,0.18579,17.49934,0.18586,16.06082,0.18486,26.00124,0.18472
0.97052,17.67935,0.18767,17.66923,0.18806,16.3175,0.18698,25.59147,0.18705
0.98149,17.59911,0.1899,17.97664,0.1902,16.56769,0.18896,26.00824,0.18908
0.99234,17.76684,0.19208,17.87788,0.1922,16.66031,0.19106,26.07259,0.19136
1.00341,17.99959,0.19422,18.0118,0.1942,16.23874,0.19335,26.72107,0.19344
1.01434,18.10567,0.19598,17.80831,0.19636,16.51614,0.19558,26.74334,0.19557
1.02437,17.98943,0.19838,18.31564,0.19834,16.96221,0.19765,26.69675,0.19768
1.03526,18.31232,0.20063,18.29122,0.20057,16.78927,0.19996,26.93746,0.19994
1.04527,18.37424,0.2026,18.41507,0.20215,16.62418,0.20182,27.3264,0.20184
1.05625,18.78525,0.2049,18.44622,0.2047,16.91192,0.2041,27.03315,0.20414
1.06725,18.74896,0.20699,18.68349,0.2066,17.22977,0.20613,27.2144,0.2062
1.07823,18.65115,0.20924,18.78581,0.20864,17.57491,0.20828,27.33085,0.20856
1.08827,18.97162,0.21116,18.93004,0.21106,17.38743,0.21042,27.91007,0.21055
1.09924,19.01681,0.21334,18.93779,0.21316,17.40461,0.21217,27.90904,0.2129
1.11027,18.75532,0.21556,19.24136,0.21562,17.25564,0.21458,27.8559,0.21491
1.12121,18.87999,0.21766,19.08994,0.21717,17.59129,0.21669,28.27073,0.2171
1.13121,19.61147,0.21967,19.65537,0.21942,17.28667,0.21862,27.95707,0.21929
1.14206,19.06813,0.22198,19.49672,0.22171,17.95808,0.22092,28.22854,0.2215
1.15317,19.51418,0.22401,19.35473,0.22399,17.96684,0.22288,28.26287,0.22346
1.16408,19.57288,0.22622,19.589,0.2257,18.01025,0.22543,29.0845,0.22534
1.17499,19.73463,0.22837,20.17921,0.22769,18.55829,0.22707,28.58022,0.22781
1.18499,19.8958,0.23037,19.9159,0.22975,18.31121,0.22925,29.13098,0.23041
1.19598,20.33782,0.23252,20.5044,0.23204,18.59992,0.23151,29.10156,0.23166
1.2069,20.19692,0.2348,20.06635,0.23408,18.96117,0.23361,29.47398,0.23424
1.21691,20.41382,0.2367,20.2886,0.23601,19.26941,0.23559,29.68364,0.2364
1.22785,20.3672,0.23886,20.52936,0.23841,18.72642,0.23801,29.33113,0.23856
1.2388,20.52071,0.2411,20.40686,0.24046,19.12943,0.23994,30.11427,0.24073
1.24887,20.6901,0.24309,20.74513,0.24276,18.96588,0.24257,29.83337,0.2427
1.2597,20.59423,0.2446,20.77693,0.24479,19.22715,0.24405,30.422,0.2449
1.26972,20.72177,0.24693,20.8624,0.24687,19.57352,0.24633,30.36272,0.24701
1.27978,21.04351,0.24916,21.00989,0.24903,19.24745,0.24858,31.17205,0.24897
1.2906,20.9928,0.25135,21.36026,0.25137,19.40061,0.25047,30.91568,0.25142
1.30069,21.03214,0.25286,21.05675,0.25296,19.62261,0.25269,30.98714,0.2533
1.31163,20.7153,0.25553,21.6342,0.25517,19.64814,0.25542,30.85156,0.25561
1.32165,21.3186,0.2576,21.21784,0.25766,20.24288,0.25697,31.38874,0.25776
1.33258,21.50238,0.25921,21.87815,0.2595,19.91099,0.25908,30.91659,0.25963
1.3436,21.41893,0.2619,21.96357,0.26171,20.09772,0.26121,31.35603,0.26168
1.35446,21.73595,0.26407,22.08377,0.26387,20.31886,0.26366,31.85896,0.26386
1.36452,21.41669,0.26633,21.86994,0.26585,20.32204,0.26542,31.85082,0.26602
1.37552,21.83639,0.26826,21.96609,0.26829,20.77781,0.26721,31.77664,0.26816
1.38637,21.60191,0.27098,21.90463,0.27015,20.56029,0.27005,32.21519,0.27014
1.39647,22.07507,0.27219,22.54616,0.27221,20.69232,0.27178,32.1543,0.27236
1.4075,21.91506,0.27457,22.65954,0.27443,20.9154,0.2738,32.36525,0.27453
1.41836,22.22167,0.27631,22.32507,0.27662,20.97695,0.27573,32.54489,0.27651
1.42839,22.36242,0.27882,22.73484,0.27878,20.83,0.27788,32.85518,0.27869
1.43839,22.51666,0.28076,22.51248,0.28079,20.89276,0.27989,32.85611,0.28087
1.44927,22.26714,0.28322,22.87479,0.28309,21.31001,0.28183,33.1571,0.28282
1.46025,22.31951,0.28514,23.1526,0.2854,20.99949,0.28428,32.9072,0.28556
1.47134,22.66382,0.28724,22.98095,0.28752,21.53618,0.28644,33.11597,0.28724
1.48221,22.79504,0.28957,23.24771,0.28935,21.28683,0.28853,33.78486,0.28918
1.49225,22.97134,0.29138,23.81118,0.2918,21.29521,0.29081,33.73754,0.29096
1.50328,22.93007,0.29365,23.00687,0.29383,21.46775,0.29289,33.67737,0.29329
1.51423,23.16375,0.2958,23.54433,0.29569,21.79499,0.29501,33.74204,0.29553
1.52525,22.99523,0.29801,23.7396,0.29821,22.33464,0.29717,33.911,0.29756
1.53526,23.48383,0.30005,23.58842,0.30033,22.05681,0.2994,34.4595,0.2997
1.54623,23.21886,0.30229,23.65303,0.30262,21.89658,0.30095,34.40509,0.30187
1.55724,23.7046,0.3044,24.44206,0.30478,22.10599,0.30351,34.53618,0.30384
1.56821,23.61869,0.30654,23.87466,0.30681,22.45718,0.30569,34.19728,0.30607
1.57823,23.992,0.30874,24.27053,0.30864,22.723,0.30742,34.84706,0.30817
1.58922,23.75527,0.31079,24.32279,0.31093,23.05543,0.30988,35.13438,0.31017
1.59923,24.39784,0.31274,24.63319,0.31294,23.02817,0.31201,35.1709,0.31263
1.61023,23.69579,0.31489,24.69716,0.31498,22.98644,0.31463,35.41552,0.31507
1.62122,24.12243,0.31712,24.30874,0.31732,23.10908,0.31611,35.1673,0.3168
1.63123,24.26946,0.31972,24.76106,0.31938,23.03886,0.31815,35.30715,0.31878
1.64125,24.59375,0.32102,25.15815,0.32171,23.48912,0.32038,35.75152,0.32072
1.65198,24.24079,0.32331,24.70515,0.32367,23.64025,0.32255,35.76126,0.32276
1.66297,24.67903,0.32501,25.30665,0.32588,23.89173,0.32478,35.94826,0.32487
1.67298,25.11168,0.32731,25.29694,0.3279,23.43358,0.32693,36.08162,0.32687
1.683,24.55116,0.32941,25.4285,0.32993,23.72758,0.32892,36.1149,0.32896
1.69392,24.84451,0.33181,25.60273,0.33193,23.60296,0.33092,36.64267,0.33111
1.70491,24.91291,0.33373,25.90687,0.33414,23.69776,0.33318,36.64229,0.3334
1.71585,25.04041,0.33595,25.22703,0.33616,23.83658,0.33526,36.60277,0.33551
1.72687,25.10189,0.33808,25.52434,0.33871,23.96506,0.33728,37.0015,0.3375
1.73785,25.29791,0.34031,25.73692,0.34015,24.30005,0.33966,36.87846,0.33971
1.74883,25.43515,0.34259,26.13724,0.34246,24.3534,0.3414,37.69525,0.34184
1.75978,25.55127,0.34473,25.8512,0.34406,24.34891,0.34378,37.88882,0.34381
1.77074,25.4318,0.34691,26.66914,0.34682,24.39871,0.34597,37.7208,0.34543
1.78177,25.90455,0.34889,26.5096,0.3488,24.65481,0.34796,38.0341,0.34808
1.79271,25.803,0.35131,26.64246,0.35144,24.93414,0.35018,38.59069,0.35013
1.80363,25.80041,0.35364,26.93207,0.35316,24.86059,0.35233,38.28683,0.35217
1.81365,26.13346,0.35555,26.75879,0.35522,25.28851,0.35475,38.37124,0.35427
1.8246,26.5635,0.35763,26.49321,0.35774,25.19942,0.35674,38.94045,0.35652
1.83559,26.5298,0.35992,26.99981,0.3596,25.22018,0.35867,38.87728,0.35886
1.8456,26.11692,0.36179,27.10278,0.36156,25.16411,0.36053,39.53647,0.36083
1.85657,26.4307,0.36397,26.90002,0.36379,25.24927,0.36292,38.92613,0.3628
1.8675,26.70872,0.36636,26.95823,0.36585,25.66003,0.36516,39.19273,0.36505
1.87842,26.6967,0.36824,27.29323,0.368,25.80598,0.36704,39.43152,0.36724
1.88859,26.76356,0.37037,27.47949,0.36996,25.68201,0.36926,39.88778,0.36903
1.89947,26.50336,0.37255,27.24414,0.37211,25.8163,0.37148,39.68092,0.37148
1.90958,27.26751,0.37469,27.40146,0.3741,25.93896,0.37353,40.14108,0.37375
1.92052,26.9953,0.37666,27.92594,0.37627,25.83075,0.37579,39.65921,0.37566
1.93148,27.54883,0.37844,27.61779,0.37838,25.68274,0.37814,40.07179,0.37795
1.94245,27.49221,0.38108,28.11172,0.38073,25.92234,0.37999,40.08954,0.37995
1.95247,27.3093,0.38304,28.32486,0.38347,26.10777,0.38217,40.50082,0.38218
1.96335,27.27625,0.38487,28.49843,0.38475,26.32009,0.38386,40.54875,0.38418
1.97342,27.60396,0.38711,28.03885,0.38704,26.68043,0.38638,40.32311,0.38642
1.98438,27.62486,0.38934,28.50166,0.38904,26.10542,0.38849,40.33146,0.3886
1.99531,27.65249,0.39147,28.13437,0.39117,26.48964,0.39094,40.58319,0.3909
2.00544,27.80831,0.39357,28.50002,0.39318,26.67939,0.39267,40.80102,0.39273
2.01544,28.02791,0.39551,28.80229,0.39524,27.0529,0.39495,41.49883,0.39482
2.02637,27.77589,0.39771,28.62771,0.39802,26.61267,0.3974,40.94049,0.39693
2.03729,28.156,0.39986,29.15293,0.39916,27.49964,0.39915,41.56214,0.39914
2.04733,28.59459,0.40184,29.18156,0.40128,27.46372,0.40101,41.49485,0.40113
2.05818,28.17754,0.40409,29.02551,0.40351,27.52516,0.40266,41.7427,0.40331
2.06822,28.17596,0.40649,29.03172,0.40548,27.40143,0.40543,41.52557,0.40496
2.07921,28.30626,0.40823,29.43075,0.40742,28.00848,0.40739,42.0269,0.40728
2.0902,28.73541,0.41038,29.31443,0.40975,27.8171,0.40987,41.8346,0.40944
2.10022,28.72468,0.41289,29.55389,0.41188,27.95892,0.41169,42.3243,0.41136
2.11121,29.14814,0.41464,29.54863,0.41368,28.25443,0.41375,42.31746,0.41374
2.12122,29.11484,0.41663,29.48293,0.41628,28.15475,0.41573,42.44337,0.4155
2.132,28.84897,0.4183,30.20476,0.41827,28.61578,0.4174,42.21481,0.41778
2.14221,29.29915,0.42077,29.89044,0.42009,28.70668,0.41994,42.45976,0.41996
2.15323,29.65916,0.42294,30.14332,0.4223,28.59656,0.42207,42.7377,0.42212
2.16408,29.56574,0.42518,30.13384,0.42465,28.71628,0.42441,43.06947,0.4241
2.17502,29.59898,0.42729,30.48812,0.42667,28.52983,0.42627,42.8432,0.42627
2.18596,29.41795,0.42982,30.2197,0.42902,29.0076,0.42853,42.88035,0.42848
2.19597,29.62717,0.43175,30.51247,0.43079,29.05966,0.43054,43.15019,0.43055
2.20692,29.97175,0.43364,30.62592,0.43274,29.41029,0.43274,43.32134,0.43281
2.21698,29.83226,0.43571,30.55177,0.4347,29.07419,0.43481,43.85108,0.43513
2.22793,29.77057,0.43802,30.97104,0.43712,29.14179,0.43706,43.80774,0.43755
2.23889,29.87324,0.44002,30.99902,0.43895,29.0052,0.43901,44.10996,0.43911
2.24891,30.39951,0.44199,31.13807,0.44116,29.14595,0.44123,44.19477,0.44116
2.25988,30.29919,0.44447,30.67271,0.44312,28.95045,0.44321,44.36883,0.44329
2.26991,30.50908,0.44619,31.12569,0.44517,29.60563,0.44535,44.14483,0.44547
2.281,30.52878,0.44831,31.45201,0.44728,29.19701,0.4476,44.26677,0.44771
2.29172,30.60221,0.45043,31.44675,0.44952,29.98524,0.4499,44.60274,0.44942
2.30262,30.78969,0.45267,31.39438,0.45146,30.22474,0.45198,44.86515,0.45183
2.31265,31.0998,0.45442,31.83013,0.45393,29.89037,0.45401,45.11688,0.45403
2.32364,31.01894,0.45688,32.03319,0.45587,29.89969,0.45667,44.83687,0.45616
2.33365,31.40382,0.45892,31.83466,0.4577,30.25001,0.45825,45.51072,0.45819
2.34462,30.93969,0.4607,32.14659,0.46021,30.43585,0.46011,45.2935,0.46048
2.35558,31.10988,0.46321,32.02735,0.46227,30.77214,0.46231,45.15977,0.46257
2.36657,31.40542,0.46542,31.71562,0.46387,30.27355,0.46458,45.65951,0.46451
2.37742,31.06324,0.46768,32.36912,0.46666,30.62838,0.46651,45.39212,0.46664
2.38743,31.49587,0.46963,32.44553,0.46858,30.79051,0.46875,45.53542,0.46941
2.39846,31.05781,0.47195,32.20497,0.47097,30.49746,0.47138,45.69144,0.47071
2.40846,31.34747,0.47401,32.69176,0.47294,30.81896,0.47282,46.31021,0.473
2.41939,31.43723,0.4759,32.40287,0.47497,30.87199,0.47499,46.40895,0.47464
2.43058,31.55869,0.47836,32.58157,0.47735,31.10253,0.47699,45.92278,0.4772
2.44127,31.94669,0.48023,32.11198,0.4792,31.19741,0.47944,46.60559,0.47945
2.45129,31.86185,0.48225,32.64751,0.48135,31.51428,0.48124,46.60036,0.48121
2.4623,32.00944,0.4846,32.99032,0.4833,31.59904,0.48341,46.41915,0.48349
2.47323,32.38385,0.48658,33.35402,0.48545,31.35521,0.48563,46.72006,0.4858
2.48324,31.87203,0.48866,32.92075,0.4877,31.75268,0.48777,47.15929,0.48773
2.49325,32.03199,0.49078,32.9887,0.48972,31.9107,0.48976,46.91918,0.48999
2.50422,32.55531,0.49281,32.92853,0.49189,31.86207,0.49183,47.62563,0.4919
2.51527,32.86846,0.49502,32.98901,0.49393,31.97314,0.49398,47.23395,0.49382
2.52625,32.64023,0.49712,33.62301,0.49633,32.17671,0.49617,46.8083,0.49629
2.5372,33.06906,0.49945,33.77278,0.49822,32.7121,0.49848,47.4921,0.49855
2.54721,32.8912,0.50142,34.16572,0.50025,32.24004,0.50053,47.80338,0.50075
2.55801,32.7137,0.50356,33.8007,0.50189,32.31776,0.50256,47.92307,0.50281
2.56806,32.98761,0.50553,33.78741,0.50423,32.28143,0.50481,47.82342,0.50549
2.57899,33.44936,0.50715,33.45725,0.50648,32.68539,0.50693,48.07968,0.50699
2.59,33.25292,0.50988,33.88034,0.50858,32.64875,0.50869,48.0878,0.50903
2.60088,33.47246,0.51162,34.39257,0.51089,32.67752,0.51124,48.50071,0.5106
2.61093,33.26733,0.51423,33.98472,0.51266,32.7151,0.51328,48.80975,0.51345
2.62093,33.59717,0.51605,33.81122,0.51456,32.952,0.51582,48.47437,0.51552
2.63185,33.56882,0.51824,34.29085,0.51681,33.11356,0.51746,48.64788,0.51737
2.64185,33.50508,0.52024,34.39218,0.51865,33.22788,0.51941,48.84524,0.51974
2.65284,33.54801,0.52239,34.75784,0.52092,33.31878,0.52155,49.07182,0.5217
2.6637,33.93591,0.52457,34.53516,0.52306,33.07051,0.52417,48.97726,0.524
2.67371,33.80116,0.52613,34.89041,0.52503,33.25011,0.52575,49.32383,0.52604
2.68468,34.49571,0.52875,34.38467,0.52725,33.65438,0.52804,49.26001,0.52884
2.69573,34.08621,0.531,35.24105,0.52933,33.90426,0.53021,49.79687,0.53042
2.70665,34.07297,0.53306,35.25073,0.53151,33.46005,0.53233,49.32558,0.53264
2.7177,34.82249,0.53537,35.23281,0.5337,33.57046,0.53427,49.67182,0.53471
2.72862,34.58867,0.53731,35.44896,0.5357,33.90158,0.53628,49.71424,0.53681
2.7396,34.55184,0.53967,35.36904,0.53768,34.18673,0.53865,49.72551,0.53901
2.74962,34.78056,0.54162,35.37288,0.53956,34.00472,0.5405,50.10323,0.54043
2.76054,34.64755,0.54367,35.55427,0.54189,34.17795,0.54291,50.20609,0.54311
2.77137,34.98299,0.54608,35.81128,0.54407,34.21932,0.54511,50.29503,0.54561
2.7814,34.70717,0.54802,35.75467,0.54643,34.48319,0.54766,50.32119,0.54747
2.79147,34.87146,0.55055,36.04168,0.54823,34.88271,0.54877,50.82344,0.54963
2.80248,35.3021,0.55223,35.67015,0.55036,34.57381,0.5513,50.71213,0.55156
2.81332,35.28322,0.55428,36.25118,0.5524,34.39894,0.55329,50.70948,0.55383
2.82341,35.34696,0.55654,36.0077,0.55482,34.78031,0.5553,51.11659,0.55624
2.83435,35.17815,0.55858,36.33598,0.55672,34.94535,0.5576,51.07831,0.55823
2.84536,35.78223,0.56072,36.29799,0.55825,34.56492,0.55942,51.10674,0.56041
2.85633,36.06397,0.56293,36.37927,0.56081,35.41699,0.56176,51.21737,0.56262
2.86634,35.29361,0.56489,36.48321,0.56291,34.79214,0.56407,51.21148,0.56472
2.87737,35.8725,0.56703,36.7022,0.5646,34.94983,0.56598,51.24841,0.56673
2.88822,35.86995,0.56911,36.43217,0.56678,35.58072,0.56808,51.22408,0.56883
2.89823,35.9714,0.57128,36.64173,0.56929,35.64863,0.57038,51.72857,0.57105
2.90825,36.27396,0.57328,36.57546,0.57129,35.42334,0.57267,51.70175,0.57299
2.91923,36.55661,0.57526,37.06234,0.57363,35.35054,0.57438,52.08045,0.5751
2.93023,36.23542,0.5776,36.6961,0.57535,35.5049,0.57643,52.19301,0.57727
2.94121,36.19957,0.57983,37.03956,0.57753,35.33715,0.5785,52.06351,0.57912
2.95123,36.3868,0.5818,37.29886,0.57969,36.13216,0.58085,52.05384,0.58138
2.96222,36.09389,0.58396,37.48738,0.58118,36.08711,0.5831,52.41301,0.58355
2.97315,36.46201,0.58623,37.67679,0.58384,36.08026,0.58533,52.67642,0.58608
2.98321,36.98731,0.58815,37.54098,0.58587,35.75905,0.58745,52.77223,0.58771
2.99404,37.09312,0.59033,37.48372,0.58824,35.81855,0.58948,53.12721,0.58988
3.00432,36.95924,0.59233,37.92858,0.59016,36.27916,0.59179,53.05563,0.59198
3.0152,37.06847,0.59456,38.06543,0.59218,36.34653,0.59385,53.29152,0.59423
